id,name,artist,album,release_date,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
1pr9TZGOXeJUggIal1Wq3R,Blind,Korn,Korn,1994-10-11,,0.283,0.891,2,-8.165,1,0.178,0.00678,0.0038,0.159,0.226,92.049,258267,4,68
6W21LNLz9Sw7sUSNWMSHRu,Freak On a Leash,Korn,Follow The Leader,1998-08-18,,0.353,0.898,2,-5.877,1,0.052,2.23e-05,0.105,0.39,0.525,103.299,255733,4,78
4l3Vmsw0KO8HJqFtnbqaqu,Left Behind,Slipknot,Iowa,2001,,0.229,0.994,6,-3.431,1,0.22,7.03e-05,0.00548,0.318,0.115,156.623,241467,4,63
3UygY7qW2cvG9Llkay6i1i,Going Under,Evanescence,Fallen,2003-03-04,,0.37,0.858,11,-4.885,0,0.0545,0.00815,2.12e-05,0.229,0.464,175.077,214947,4,75
4Uiw0Sl9yskBaC6P4DcdVD,Be Quiet and Drive (Far Away),Deftones,Around the Fur,1997-10-27,,0.206,0.965,1,-5.116,1,0.079,9.91e-06,0.827,0.367,0.168,92.615,299867,4,76
5cZqsjVs6MevCnAkasbEOX,Break Stuff,Limp Bizkit,Significant Other,1999,,0.432,0.884,8,-6.657,1,0.128,0.0128,0.000457,0.166,0.619,108.835,166707,4,80
3K4HG9evC7dg3N0R9cYqk4,One Step Closer,Linkin Park,Hybrid Theory (Bonus Edition),2000,,0.492,0.969,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,157333,4,83
2jSJm3Gv6GLxduWLenmjKS,Digital Bath,Deftones,White Pony,2000-05-16,,0.338,0.859,4,-4.938,0,0.0824,0.00122,0.211,0.0936,0.504,92.966,255373,4,67
6264zKFgXM13JuRBX4MMyD,Mudshovel,Staind,Dysfunction,1999-04-13,,0.328,0.826,6,-5.085,1,0.0362,0.000224,0.000944,0.0818,0.341,106.606,282093,4,62
24z528iI9kZu5LbkLainjI,Between Angels And Insects,Papa Roach,Infest,2001-04-25,,0.517,0.961,2,-3.214,0,0.0657,0.000215,0.000454,0.195,0.342,93.467,234467,4,66
2F6FfZ4w8z3eJpSxPotVO5,Falling Away from Me,Korn,Issues,1999-11-09,,0.468,0.769,4,-7.036,1,0.041,0.00014,0.00124,0.271,0.17,104.102,270920,4,72
10V8XpuyMoEcSMfM79WDET,Living Dead Girl,Rob Zombie,Hellbilly Deluxe,1998-01-01,,0.518,0.948,6,-5.579,0,0.0676,0.00512,0.0996,0.228,0.548,103.025,201400,4,71
3v0ylYF51SKkgAi4PrfKTq,I'm So Sick,Flyleaf,Flyleaf,2005,,0.431,0.959,10,-4.257,1,0.0853,6e-05,6.11e-06,0.118,0.266,153.96,176160,4,53
575Sz3R4xOhueUstPObylF,Control,Puddle Of Mudd,Come Clean,2001-08-28,,0.444,0.913,6,-3.452,1,0.0992,0.00308,0.0,0.38,0.569,163.689,230067,4,62
4ODayaHhJI0sIjLMmNFXCY,Papercut,Linkin Park,Hybrid Theory,2000-10-24,,0.524,0.939,9,-3.994,1,0.113,0.00022,0.0,0.623,0.661,150.184,184867,4,0
61mWefnWQOLf90gepjOCb3,Duality,Slipknot,Vol. 3: The Subliminal Verses,2004,,0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,252613,4,79
6nJPHXRpKYv2yqtalEjKy5,Got the Life,Korn,Follow The Leader,1998-08-18,,0.498,0.905,11,-5.721,0,0.0521,1.85e-05,0.765,0.383,0.584,123.338,225307,4,71
1158ckiB5S4cpsdYHDB9IF,My Own Summer (Shove It),Deftones,Around the Fur,1997-10-27,,0.443,0.781,1,-4.277,1,0.0377,1.33e-05,0.205,0.166,0.372,71.841,214760,4,77
59WN2psjkt1tyaxjspN8fp,Killing In The Name,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),1992,,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785,313573,4,78
2yTnWN1R5j6grXC8YLf5mc,Spit It Out,Slipknot,Slipknot,1999,,0.331,0.946,7,-4.599,1,0.0775,0.0309,5.62e-06,0.254,0.534,139.965,159773,4,68
2avKuMN2QXkaG9vvHa2JLt,Take A Look Around,Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,2000-10-17,,0.425,0.852,11,-5.605,1,0.0461,0.0174,0.311,0.0935,0.499,101.97,321040,4,73
0Y2i84QWPFiFHQfEQDgHya,People = Shit,Slipknot,Iowa,2001,,0.462,0.996,11,-2.973,0,0.231,5.8e-05,0.00377,0.139,0.145,122.072,215600,4,68
3Y4rNagSf2IukhcOTWYJuV,Death Blooms,Mudvayne,L.D. 50,2000-08-13,,0.275,0.974,6,-4.624,0,0.192,0.000355,0.0024,0.158,0.237,174.095,291933,4,52
